,NAME,POSITION,EDUCATION
35,"Baltimore, Craig V. (2001) Architectural Engineering",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1986; M.S., Duke University, 1996; Ph.D., 1998. Registered Structural Engineer and Professional Engineer, California."
36,"Barata, Antonio G. (1985) Music",Professor Emeritus (FERP),"B.A., Towson State University, 1977; M.M., Northwestern University, 1979; D.M.A., University of Illinois, 1985."
37,"Barlow, Philip L. (2006) Construction Management",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1987; M.B.A., Golden Gate University, 1993; Ph.D., University of Florida, 2015; Licensed General Contractor, Licensed Broker, Certified Professional Constructor (CPC), Certified Cost Consultant (CCC), Designated Design-Build Professional (DBIA), LEED Accredited Professional (LEED AP)."
38,"Bass, Beverly J. (2008) Landscape Architecture",Professor and Department Head,"B.F.A., East Carolina University, 1982; M.L.A., University of Arizona, 2003. LEED Accredited Professional. Certified Arborist, Registered Landscape Architecture, California."
39,"Bates, G.W. (2018) BioResource and Agricultural Engineering",Assistant Professor,"B.S., California Polytechnic State University, San Luis Obispo, 2003; M.S. University of Washington, Seattle, 2011; Ph.D., Texas Tech University, Lubbock, 2017. Registered Civil Engineer, CA."
40,"Battenburg, John (1989) English",Professor,"B.A., Andrews University, 1982; M.A., Ohio University, 1984; Ph.D., Purdue University, 1989."
41,"Battle, Martin (2015) Political Science",Associate Professor,"B.A., University of Sheffield, 1997; M.A., University of Wisconsin, Milwaukee, 2000; Ph.D., Washington University, St. Louis, 2006."
42,"Bean, Timothy W. (2019) Biological Sciences",Associate Professor,"B.A., Columbia University, 2004; Ph.D., University of California, Berkeley, 2012."
43,"Beaton, Brian (2015) History",Associate Professor,"B.A., Emory University, 2000; M.A., New York University, 2002; University of Toronto, Ph.D., 2012."
44,"Bednarek, Ziemowit K. (2012) Finance",Professor,"Ph.D., University of California, Berkeley, 2010."
45,"Beekman, Matthew (2016) Physics",Associate Professor,"B.S., University of South Florida, 2003; M.S., 2006; Ph.D., 2009."
46,"Behrouzi, Anahid (2016) Architectural Engineering",Associate Professor,"B.S., North Carolina State University, Raleigh, 2011; M.S., University of Illinois, Urbana-Champaign, 2013; Ph.D., University of Illinois, Urbana-Champaign, 2016."
47,"Belanger, Jacques (2017) Mechanical Engineering",Assistant Professor,"B.S., Laval University, Quebec City, Canada, 1985; M.S., Laval University, 1987; Ph.D., California Institute of Technology, 1993."
48,"Bellardo, John M. (2006) Computer Science, Computer Engineering",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1999; M.S., University of California, San Diego, 2001; Ph.D., 2006."
49,"Bencharit, Lucy (2019) Psychology and Child Development",Assistant Professor,"B.A., New York College, College of Arts and Sciences, 2007. M.A., New York College, Graduate School of Arts and Sciences, 2010. Ph.D., Stanford University, 2018."
50,"Bennert, Vardha N. (2011) Physics",Professor,"B.S., Ruhr-University of Bochum, Germany, 1999; M.S., 2002; Ph.D., 2005."
51,"Bennett, Darin C. (2014) Animal Science",Associate Professor,"B.Sc., University of Guelph, 1986; M.Sc., University of British Columbia, 1993; Ph.D., University of British Columbia, 2002."
52,"Bennion, Kelly Ann (2016) Psychology and Child Development",Associate Professor,"B.A., Middlebury College, 2010; Ed.M., Harvard Graduate School of Education, 2011; Ph.D., Boston College, 2016."
53,"Bensky, Thomas J. (2001) Physics",Professor,"B.S., California State University, Northridge, 1992; Ph.D., University of Virginia, 1998."
54,"Benson, Bridget G. (2011) College of Engineering, Computer Engineering",Interim Associate Dean Professor,"B.S., California Polytechnic State University, San Luis Obispo, 2005; M.S., University of California Santa Barbara, 2007; Ph.D., University of California, San Diego, 2010"
55,"Berber-Jimenez, Lola (1995) Liberal Studies",Professor and Department Chair,"B.S., Universidad LaSalle, 1983; Ph.D., University of California, Davis, 1990. K-5 Teaching Credential."
56,"Bercovici, Daniel (2015) Chemistry and Biochemistry",Assistant Professor,"B.S., Massachusetts Institute of Technology 2004; Ph.D., Univeristy of Vermont, 2013."
57,"Bergman, Sky (1995) Art and Design",Professor (FERP),"B.S., University of South Florida, 1987; M.F.A., University of California, Santa Barbara, 1991."
58,"Bernard, Thomas J. (2008) Theatre and Dance",Professor,"B.A., University of Minnesota, 1991; M.F.A., Northern Illinois University, 1995."
59,"Bettergarcia, Jay (2017) Psychology and Child Development",Associate Professor,"B.S., California Polytechnic State University, San Luis Obispo, 2009; M.A., San Francisco State University, 2011; Ph.D., University of California, Santa Barbara, 2016."
60,"Beyramali Kivy, Mohsen (2019) Materials Engineering",Assistant Professor,"B.S., Chemical Engineering, University of Tehran, 2009; Ph.D. Materials Science and Engineering, Missouri University of Science and Technology, 2017"
61,"Birdsong, Charlene B. (2003) Mechanical Engineering",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1991; M.S., Michigan State University, 1996; Ph.D., 1999."
62,"Black, Michael W. (2001) Biological Sciences",Professor,"B.S., Southwest Missouri State, 1993; Ph.D., Stanford University, 1999."
63,"Blank, Jason M. (2009) Biological Sciences",Associate Professor,"B.S., Duke University, 1996; Ph.D., Stanford University, 2006."
64,"Blau, Jnan A. (2008) Communication Studies",Associate Professor,"B.S., Arizona State University West, 1999; M.S., Southern Illinois University, 2002; Ph.D., 2007."
65,"Bockmon, Emily (2017) Chemistry and Biochemistry",Assistant Professor,"B.A., Pomona College, 2008; Ph.D., Scripps Institution of Oceanography, UC San Diego, 2014."
66,"Bodwin, Kelly N. (2017) Statistics",Assistant Professor,"B.A., Harvard University, 2011; Ph.D., University of North Carolina, 2017."
67,"Bohr, Gregory S. (2005) Social Sciences",Associate Professor,"B.A., University of California, Berkeley, 1993; M.A., San Diego State University, 1997; Ph.D., Louisiana State University, 2004."
68,"Bonini, Vincent (2008) Mathematics",Professor,"B.A., University of California, Santa Cruz, 2000; M.A., 2001; Ph.D., 2006."
69,"Bordeman, Adam (2015) Accounting",Assistant Professor,"B.S., Marquette University, 2006; M.S., Marquette University, 2007; Ph.D., University of Colorado at Boulder, 2015."
70,"Borzellino, Joseph E. (2001) Mathematics",Professor,"B.S., University of California, Irvine, 1987; M.A., University of California, Los Angeles, 1989; Ph.D., 1992."
71,"Boswell, Michael R. (1998) City and Regional Planning",Professor,"B.A., University of Central Florida, 1989; M.S.P., Florida State University, Tallahassee, 1991; Ph.D., 2000."
72,"Brady, Pamalee (1998) Architectural Engineering",Professor Emeritus (FERP),"B.S., California Polytechnic State University, San Luis Obispo, 1979; M.S., University of California, Berkeley, 1980; Ph.D., University of Illinois, Urbana-Champaign, 2004. Registered Civil Engineer, California."
73,"Brammeier, Meredith (2001) Music",Professor,"B.A., Princeton University, 1992; M.M., Eastman School of Music, 1995; D.M.A., University of Southern California, 2000."
74,"Bridger, Sarah (2011) History",Associate Professor,"B.A., Brown University, 2000; M.A., Columbia University, 2005; M.Phil, 2006; Ph.D., 2011."
75,"Brito, Efrain (2022) School of Education",Assistant Professor,"B.A., George Washington University, 1997; M.A., Standford University, 1998; Ph.D., Standford University, 2021."
76,"Brown, D. Kenneth (2007) Philosophy",Associate Professor and Department Chair,"B.A., University of California, Irvine, 1992; M.A., Claremont Graduate University, 1998; Ph.D., University of California, Irvine, 2006."
77,"Brussel, Eric S. (2012) Mathematics",Professor,"B.A., University of California, Santa Cruz 1982; Ph.D., University of California, Los Angeles, 1993."
78,"Burd, Matthew A. (2003) Animal Science",Professor,"B.S., University of Wisconsin–Madison, 1987; M.S., San Jose State University, 1991; D.V.M., University of California, Davis, 1996."
79,"Burke, Ellen (2014) Landscape Architecture",Associate Professor,"B.A., Vassar College, 1997; M.L.A., Harvard University Graduate School of Design, 2005."
80,"Burleson, James (2014) Management, HR, and Information Systems",Assistant Professor,"B.B.A., Baylor University; M.B.A., Auburn University."
81,"Burn, Shawn Meghan (1990) Psychology and Child Development",Professor Emeritus,"B.S., Virginia Commonwealth University, 1982; M.A., The Claremont Graduate University, 1984; Ph.D., 1988."
82,"Bush, Seth (2005) Chemistry and Biochemistry",Professor and Department Chair,"B.S., Reed College, 1994; Ph.D., University of California, Berkeley, 1999."
83,"Byrne, Andrew M. (2017) School of Education",Associate Professor,"B.A., Grove City College, 1996; M.S., East Carolina University, 2005; M.S., East Carolina University, 2005; Ph.D., East Carolina University, 2013."
84,"Cabrinha, Mark (2003) Architecture",Professor and Department Head,"B.Arch., California Polytechnic State University, San Luis Obispo, 1995; M.Arch., University of Illinois, 2001; Ph.D., Rensselaer Polytechnic Institute, 2010. Registered Architect, Illinois."
85,"Cacciamani, Laura (2016) Psychology and Child Development",Associate Professor,"B.S., Carnegie Mellon University, 2009; M.A., The University of Arizona, 2010; Ph.D., 2014."
86,"Cahn, Anna (2022) Food Science and Nutrition",Assistant Professor,"B.S., California Polytechnic State University, San Luis Obispo, 2012; M.S. and Dietetic Internship CSU Long Beach, 2015, Ph.D. University of Oregon, 2021."
87,"Cai, Xiaowei (2008) Agribusiness",Professor,"B.S., M.S., Nanjing Agricultural University, 2001; M.S., Ph.D., University of Wisconsin, 2009."
88,"Call, Lewis W. (1996) History",Professor,"B.A., University of California, San Diego, 1990; M.A., University of California, Irvine, 1992; Ph.D., 1996."
89,"Callenes-Sloan, Joseph (2017) Computer Engineering",Assistant Professor,"B.S., Iowa State University of Science and Technology, Ames, 2007; M.S., University of Illinois at Urbana-Champaign, 2011; Ph.D., University of Illinois at Urbana-Champaign, 2013"
90,"Camp, Charles D. (2007) Mathematics",Professor,"B.A., University of California, San Diego; 1989; Ph.D., California Institute of Technology, 2004."
