,NAME,POSITION,EDUCATION
163,"DeTurris, Dianne J. (1998) Aerospace Engineering",Professor,"B.S., Georgia Institute of Technology, 1984; M.S., Pennsylvania State University, 1986; Ph.D., Virginia Polytechnic Institute and State University, 1992."
164,"Dhamapalan, Vineeth (2022) Construction Management",Assistant Professor,"B.E., University of Mumbai, 2006; M.S., Civil Engineering, Oregon State University, 2011; M.S., Statistics, The University of Texas at Austin, 2019; Ph.D., Civil Engineering, The University of Texas at Austin, 2021."
165,"Dhillon, Anuraj (2018) Communication Studies",Assistant Professor,"B.C.A., GND University, 2004; M.B.A., ICFAI University, 2006; Ph.D., University of Connecticut, 2018."
166,"Dicus, Christopher A. (2001) Natural Resources Management and Environmental Sciences",Professor,"B.S., Louisiana Tech University, 1992; M.S., Utah State University, 1995; Ph.D., Louisiana State University, 2000. Registered Professional Forester, California. Certified Senior Fire Ecologist."
167,"Dimitrova, Elena (2019) Mathematics",Associate Professor,"B.A., American University in Bulgaria, 2001; Ph.D. Virginia Tech, 2006."
168,"Ding, Shunping (2018) Wine and Viticulture, Horticulture and Crop Science",Assistant Professor,"B.S., Henan University, China, 2010; M.S. The University of Hong Kong, 2013; Ph.D., University of Wisconsin-Madison, 2018."
169,"Disanto, Thomas L. (2003) Architecture",Professor,"M.Arch., California State Polytechnic University, Pomona, 1989; B.Arch, 1997; Ecole D'Architecture De Paris, La Defense, 1999. Registered Architect, California."
170,"Djassemi, Manocher (2003) Industrial Technology and Packaging",Professor Emeritus (FERP),"B.S., University of Science and Technology, Tehran, 1977; M.S., University of Wisconsin–Milwaukee, 1990; Ph.D., 1994."
171,"Dobson, John (1990) Finance",Professor,"B.A., University of Lancaster, England, 1979; M.A., University of South Carolina, 1981; Ph.D., 1988."
172,"Doi, Jimmy A. (2003) Statistics",Professor,"B.A., California State University, Northridge, 1995; M.S., North Carolina State University, 1998; Ph.D., 2003."
173,"Dolan, Dale S. L. (2009) Electrical Engineering",Professor and Department Chair,"B.S., University of Toronto, Ontario, Canada, 2003; M.S., 2005; Ph.D., 2008."
174,"Donegan, Lorraine D. (2002) Graphic Communication",Professor Emeritus (FERP),"B.S., California Polytechnic State University, San Luis Obispo, 1997; M.A., 2001."
175,"Dong, Kevin J. (2001) Architectural Engineering",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1986; M.S., University of California, Berkeley, 1988. Registered Structural Engineer and Professional Engineer, California."
176,"Donig, Deb (2019) English",Assistant Professor,"B.A., University of California, Davis, 2005; M.A., Universitiy of Massachusetts, Amherst, 2010; Ph.D., University of California, Los Angeles, 2017."
177,"Doremus, Jaqueline (2015) Economics",Associate Professor,"B.S., Stanford University, 2004; M.A., University of Michigan, 2010; Ph.D., University of Michigan 2015."
178,"Drake, Aaron (2014) Aerospace Engineering",Professor,"B.S., San Jose State; M.S., Stanford; Ph.D., Washington State University."
179,"Duffy, Bernard K. (1988) Communication Studies",Professor Emeritus (FERP),"B.A., San Jose State College, 1970; M.A., 1971; Ph.D., University of Pittsburgh, 1976."
180,"Durham, Garland B. (2014) Finance",Associate Professor,"B.S., University of Kentucky, 1983; M.S., University of Illinois, 1985; Ph.D., University of North Carolina, 2001."
181,"Eagon, Scott C. (2014) Chemistry and Biochemistry",Associate Professor,"B.A., Whitman College, 2005; Ph.D., University of California Santa Cruz, 2010."
182,"Easton, Robert W. (2011) Mathematics",Associate Professor,"B.S., University of Michigan, 2002; Ph.D., Stanford University, 2007."
183,"Echols, Robert (1999) Physics",Professor,"B.S., University of California, Davis, 1992; M.S., 1994; M.S., University of California, Santa Cruz, 1996; Ph.D., 1999."
184,"Eckhardt, Christian (2017) Computer Science",Assistant Professor,"Ph. D., Vienna University of Technology, Austria, 2011."
185,"Edwards, Mark S. (2007) Animal Science",Professor,"B.A., Miami University, 1987; Ph.D., Michigan State University, 1995."
186,"Edwards, Louise O.V. (2016) Physics",Associate Professor,"B.S., University of Victoria, Canada, 2001; M.S., Saint Mary's University, Canada, 2003; Ph.D., Université Laval, Canada, 2007."
187,"Eisty, Nasir (2020) Computer Science",Assistant Professor,"B.S. Rajshahi University of Engineering and Technology, Rajshahi, Bangladesh, 2014; M.S., University of Alabama, Tuscaloosa, AL, USA, 2018; Ph. D., University of Alabama, Tuscaloosa, AL, USA, 2020"
188,"El Badawy, Amr (2018) Civil and Environmental Engineering",Assistant Professor,"B.S., Mansoura University, 2001; M.S., 2005; Ph.D., University of Cincinnatti, 2011."
189,"Elghandour, Elthary (2000) Mechanical Engineering",Professor,"B.S., Helwan University,Cairo, Egypt 1983; M.S. 1989; Ph.D., 1995."
190,"Eller, Dan (2006) Journalism",Professor Emeritus (FERP),"B.S. California State University, Northridge, 1984; M.P.H., 1987; Ed.D., University of California, Santa Barbara, 2010."
191,"Ellis, Allison M. (2016) Management, HR, and Information Systems",Associate Professor,"B.A., University of California, Irvine, 2009; M.S., Portland State University, 2012; Ph.D., Portland State University, 2015."
192,"Emberley, Richard (2017) Mechanical Engineering",Associate Professor,"B.S., Worcester Polytechnic Institute, 2011; M.S., 2013; Ph.D., University of Queensland, Brisbane, Australia, 2017."
193,"Emyan, Mariam (2007) College of Architecture and Environmental Design",Assistant Dean,"B.S., Armenian Agrarian University, Armenia, 1997; M.A., Public Administration Academy, Armenia, 1999; M.B.A., California Polytechnic State University, San Luis Obispo, 2006."
194,"Espinoza-Wade, Eric (2019) Mechanical Engineering",Assistant Professor,"B.S. Massachusetts Institute of Technology, 2000; M.S., Massachusetts Institute of Technology, 2004; PhD, Massachusetts Institute of Technology, 2007"
195,"Esquivel, Ramon (2020) Theatre and Dance",Assistant Professor,"B.A. Yale University 1999; M.A. Educational Theatre, New York University 2006; M.F.A. Creative Writing, University of British Columbia 2017."
196,"Estes, Allen C. (2007) Architectural Engineering",Professor and Department Head,"B.S., United States Military Academy, 1978; M.S., Stanford University, 1987; M.B.A., Long Island University, 1989; Ph.D., University of Colorado, 1997. Registered Civil Engineer, Virginia."
197,"Estrada, Aaron R. (2012) Psychology and Child Development",Associate Professor,"B.A., University of California, Santa Cruz, 2001; M.S., San Francisco State University, 2006; M.A., University of California, Santa Barbara, 2008; Ph.D., 2011."
198,"Fagan, Kevin (2001) World Languages and Cultures",Professor Emeritus (FERP),"B.A., Gregorian University, Rome, 1972; M.A., 1977; M.A., Texas Tech University, 2000; Ph.D., University of Dallas, 1998; Ph.D. Texas Tech Univeristy, 2003."
199,"Fang, Dongfeng (2019) Computer Science, Computer Engineering",Associate Professor,"B.S., Harbin Institute of Technology, China, 2009; M.S., Shanghai University, China, 2014; Ph.D., University of Nebraska, 2019."
200,"Faruque, Omar (1989) Landscape Architecture",Professor Emeritus (FERP),"B.S.L.A., Texas A M University, 1971; M. Arch., 1972. Registered Architect, Texas, and Landscape Architect, Texas and Indiana."
201,"Feng, Yiming (2021) Food Science and Nutrition",Assistant Professor,"B.S., University of Illinois, Urbana-Champaign, 2013; PhD, University of Illinois, Urbana-Champaign, 2018"
202,"Fernando, Raymond (2002) Chemistry and Biochemistry",Professor,"B.S., University of Sri Jayewardenepura, Sri Lanka; Ph.D., North Dakota State University, Fargo, 1986."
203,"Fernflores, Francisco (2000) Philosophy",Professor,"B.Sc., University of Toronto, 1992; M.A., University of Western Ontario, 1993; Ph.D., 1998."
204,"Fernflores, Rachel (2006) Philosophy",Professor,"B.A., University of Regina, 1993; M.A., University of Saskatchewan, 1995; Ph.D., Queens University, 2006."
205,"Fernsler, Jonathan (2006) Physics",Professor,"B.S., College of William and Mary, 1996; M.S., University of Colorado, Boulder, 1999; Ph.D., 2004."
206,"Fidopiastis, Pantelis M. (2006) Biological Sciences",Professor,"B.A., California State University, Fullerton, 1992; M.A., 1995; Ph.D., University of Hawaii, Manoa, 2001."
207,"Fiegel, Gregg L. (1995) Civil and Environmental Engineering",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1990; M.S., University of California, Davis, 1992; Ph.D., 1995. Registered Professional Engineer and Geotechnical Engineer, California."
208,"Fiorenza, Giancarlo (2008) Art and Design",Professor,"B.A., University of California, Santa Cruz, 1991; M.A., Johns Hopkins University, 1993; Ph.D., 2001."
209,"Firpo, Christina E. (2006) History",Professor,"B.A., The George Washington University, 2000; M.A., University of California, Los Angeles, 2002; Ph.D., 2007."
210,"Fisher, Eric (2007) Economics",Professor Emeritus (FERP),"M.A., John Hopkins School of Advanced International Studies, 1979; Ph.D., University of California, Berkeley, 1985."
211,"Fitzhenry, William (1997) English",Professor,"B.A., State University of New York at Buffalo, 1984; M.A., University of Colorado, 1991; Ph.D., Duke University, 1997."
212,"Fleischer, Amy S. (2018) College of Engineering",Dean,"B.S.M.E., Villanova University, 1991; M.S.M.E., 1996; Ph.D., University of Minnesota, 2000"
213,"Flores, Carlos A. (2013) Economics",Professor,"B.A., Monterey Institute of Technology, Mexico, 1998; M.A., UC Berkeley, 2003; Ph.D., UC Berkeley, 2005."
214,"Floyd, Barry (1990) Management, HR, and Information Systems",Professor Emeritus (FERP),"B.S., Michigan State University, 1973; M.S., 1974; M.B.A., University of Michigan, 1983; Ph.D., 1985."
215,"Flushman, Tanya R. (2012) School of Education",Professor,"B.A., University of California, Santa Cruz, 1998; M.S., State University of New York, College at Buffalo, 2006; Ph.D., Vanderbilt University, 2012."
216,"Fogle, Emily (2007) Chemistry and Biochemistry",Professor,"B.A., Sonoma State University, 2000; Ph.D., University of California, Davis, 2005."
217,"Folk, Elizabeth (2017) Art and Design",Assistant Professor,"B.F.A., University of Colorado, Boulder, 2007; M.F.A., University of California, Santa Barbara, 2009."
218,"Forster, Sophia (2008) English",Professor,"B.A., York University, 1998; M.A., University of Victoria, 2001; Ph.D., State University of New York at Buffalo, 2008."
219,"Fowler, Thomas , IV, FAIA (1995) Architecture",Professor,"B.Arch., New York Institute of Technology/Old Westbury, 1984; M.Arch., Cornell University, 1994. Registered Architect, New York."
220,"Foxen, Anya P. (2018) Philosophy, Women's, Gender and Queer Studies",Assistant Professor,"B.A., Rutgers, 2008; M.A., UCSB; 2011 PhD, UCSB, 2015"
221,"Frame, Samuel (2007) Statistics",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 2001; M.S., University of California, Santa Barbara, 2004; Ph.D., 2007."
222,"Francis, Clinton D. (2013) Biolocial Sciences",Associate Professor,"B.S., Pacific University, 2002; M.A., University of Colorado 2007; Ph.D., 2010."
223,"Frantz, Sara J. (2014) Art and Design",Associate Professor,"B.S., University of Wisconsin-Madison, 2003; M.F.A., University of Texas, 2007."
224,"Frantz, Derik K. (2014) Chemistry and Biochemistry",Associate Professor,"B.S. 2005 Juniata College, 2005; M.Sc. University of Zurich, Switzerland, 2008; Dr. sc. nat. University of Zurich, Switzerland, 2012."
225,"Freberg, Laura A. (1987) Psychology and Child Development",Professor,"B.A., University of California, Los Angeles, 1974; M.A., 1975; Ph.D., 1979."
226,"Freed, Tali (2001) Industrial and Manufacturing Engineering",Professor,"B.Sc., Technion-Israel Institute of Technology, Israel, 1983; M.Sc., 1988; Ph.D., University of California, Berkeley, 1995. Registered Professional Engineer, California."
227,"Fricker, Geoffrey Andrew (2018) Social Sciences",Assistant Professor,"BS (Physical Geography, UCSB -2005), MA (Geography UCLA - 2009), PhD (Geography UCLA -2015)"
228,"Frye, Amanda (2020) Liberal Studies",Assistant Professor,"B.A., Harvard University, 1991; Ed.M, Harvard University, 1994 2012; Ph.D., Stanford University, 2018."
229,"Funston-Timms, Benjamin F. (2007) Social Sciences",Professor,"B.A., University of New Mexico, 1997; M.A., Indiana University, 1999; Ph.D., 2007."
230,"Galanti, Tera (2008) Art and Design",Associate Professor,"B.F.A., California State University, Long Beach, 1986; M.F.A., 1995."
231,"Galos, Joel (2022) Materials Engineering",Assistant Professor,"B.S., Aerospace Engineering Mathematics, University of South Wales, Australia, 2012; M.A. Composite Materials, Imperial College, UK, 2013; Ph.D., Engineering, University of Cambridge, UK, 2017"
232,"Galvan-Mandujano, Martha Carolina (2018) World Languages and Cultures",Assistant Professor,"B.A., Texas A M University, 2000; M.A., Texas A M University, 2007; Ph.D, University of Oklahoma, 2015."
233,"Garcia, Antonio F. (2001) Physics",Professor,"B.A., University of California, Los Angeles, 1988; B.S., San Jose State University, 1994; M.S., The University of New Mexico, 1996; Ph.D., University of California, Santa Barbara, 2001."
234,"Garcia, Julie A. (2007) Psychology and Child Development",Professor,"B.A., California State University, San Bernardino, 1996; Ph.D., University of Michigan, Ann Arbor, 2005."
235,"Garner, Lauren C. (2005) Horticulture and Crop Science",Professor,"B.S., The College of William and Mary, 1992; M.S., Cornell University, 1996; Ph.D., University of California, Riverside, 2004."
236,"Gasiorek, Sean (2022) Mathematics",Assistant Professor,"B.S., California Polytechnic State University, San Luis Obispo, 2009; M.S., 2011; Ph.D., University of California, Santa Cruz, 2019."
237,"Gearhart, Richard O. (2006) Journalism",Associate Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1991; M.S., California Polytechnic State University, San Luis Obispo, 2009."
238,"Gharibyan, Hasmik (2000) Computer Science",Professor,"M.S., Yerevan State University, Republic of Armenia, USSR, 1981; Ph.D., 1991."
239,"Ghoddusi, Hamed (2020) Finance",Assistant Professor,"Ph.D., Vienna Graduate School of Finance 2011, Post Doc, MIT, 2013"
240,"Giberti, Bruno (1994) Architecture, Academic Programs and Planning",Professor and Associate Vice Provost,"B.S. Arch., California Polytechnic State University, San Luis Obispo, 1980; M.Arch., University of California, Berkeley, 1989; Ph.D., 1994; Registered Architect, California."
241,"Gill, Samantha J. (1997) Natural Resources Management and Environmental Sciences, BioResource and Agricultural Engineering",Professor,"B.S., Humboldt State University, 1991; M.S., 1993; Ph.D., University of California, Berkeley, 1997. Registered Professional Forester, California."
242,"Gillen, Glen D. (2006) Physics",Professor,"B.S., Denison University, 1994; M.S., Miami University, 1996; M.A.T., 1997; M.S., The Ohio State University, 2001; Ph.D., 2002."
243,"Gillen, Katharina (2006) Physics",Professor,"Vordiplom, Rheinische Friedrich-Wilhelms Universität Bonn, 1998; M.S., The Ohio State University, 2000; Ph.D., 2005."
244,"Gillette, David (2001) English, Liberal Arts and Engineering Studies",Professor and LAES Co-Director,"B.A., University of Iowa, 1985; M.A., University of New Mexico, 1992; Ph.D., 1995."
245,"Giordono, Leanne (2022) Political Science",Assistant Professor,"B.A., Economics, Franklin and Marshall College ,1993; M.P.A., Princeton University 2000; Ph.D., Public Policy, Oregon State University 2018."
246,"Glanz, Hunter S. (2014) Statistics",Associate Professor,"B.S., California Polytechnic State University, San Luis Obispo, 2009; M.A., Boston University, 2012; Ph.D., 2013."
247,"Glick, Mary M. (2012) Journalism",Associate Professor (FERP),"B.A., State University of New York at Oswego, 1972; M.A., California State University, Fullerton, 1982."
248,"Glysson, Scott (2017) Music",Associate Professor,"B.M., George Mason University, 2007; M.M., University of Arizona, Tucson, 2012; D.M.A., University of Arizona, Tucson, 2014."
249,"Goldenberg, Marni (2003) Experience Industry Management",Professor,"B.S., California State University, Sacramento, 1995; M.S., Purdue University, 1997; Ph.D., University of Minnesota, 2002."
250,"Goodman, Anya (2005) Chemistry and Biochemistry",Professor,"B.S., Florida Atlanta University, 1996; Ph.D., Massachusetts Institute of Technology, 2003."
251,"Gorman, Larry R. (1997) Finance",Professor,"B.S., Washington State University, 1985; M.B.A., Western Washington University, 1988; Ph.D., Northwestern University, 1998."
252,"Gragson, Derek E. (1999) College of Science and Mathematics, Chemistry and Biochemistry",Associate Dean and Professor,"B.S., California State University, Hayward 1991; M.S., 1995; Ph.D., University of Oregon, 1997."
253,"Granger, Brian E. (2008) Physics",Professor,"B.S., Westmont College, 1994; Ph.D., University of Colorado at Boulder, 2001."
254,"Gray, Joey (2021) Experience Industry Management",Professor and Department Head,"B.S., Averett University, Virginia 1996, M.P.R.T.M., Parks, Rec. and Tourism Mgmt.: Sport Management, N. Carolina State Univ., N. Carolina, 2000, Ph.D., Leisure Behavior: Sport Mgmt., Indiana Univ., Indiana, 2006"
255,"Greenbaum, Bruce (2015) Management, HR, and Information Systems",Associate Professor and Associate Dean for Programs Learning,"B.S., University of Virginia, 1991; M.B.A., University of Michigan, 1996; Ph.D., University of Texas, 2013."
256,"Greenlee-Wacker, Mallary (2022) Biological Sciences",Associate Professor,"B.S., University of California, Irvine, 2006; Ph.D., University of Notre Dame, IN., 2011."
257,"Greenwood, Jerusha B. (2006) Experience Industry Management",Professor,"B.S., University of Utah, 1998; M.S., 2002; Ph.D., North Carolina State University, 2006."
258,"Greenwood, P. Brian (2006) Experience Industry Management",Professor,"B.A., University of North Carolina at Chapel Hill, 1996. M.S., North Carolina State University, 2001; Ph.D., 2007."
259,"Greever, Cory J. (2016) Kinesiology and Public Health",Associate Professor,"B.S., Virginia Commonwealth University, 2010; M.S., James Madison University, 2012; Ph.D. University of Massachusettes, Amherst, 2016."
260,"Greve, Adrienne I. (2006) City and Regional Planning",Professor,"B.S., Cornell University, 1996; M.S., Colorado State University, Ft. Collins, 1999; Ph.D., University of Washington, Seattle, 2007."
261,"Griffin, Lanny (1997) Biomedical Engineering",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1992; Ph.D., University of California, Davis, 1996."
262,"Grossenbacher, Dena L. (2017) Biological Sciences",Assistant Professor,"B.S., University of Washington, 1999; Ph.D., University of California, Davis, 2013."
263,"Grundmeier, Todd A. (2004) Mathematics",Professor,"B.S., University of New Hampshire, 1997; M.S., 2000; Ph.D., 2003."
264,"Gu, Caixing (1998) Mathematics",Professor,"B.S., Zhejiang University, 1982; M.S., China Textile University, 1986; Ph.D., Indiana University, 1994."
265,"Guerra Silva, Rafael A. (2022) Industrial Technology and Packaging",Assistant Professor,"B.S., Central University of Venezuela, Venezuela, 2001; M.S., 2004; Ph.D., Technische Universität Dresden, Germany, 2013."
266,"Guise, Megan (2009) School of Education",Professor,"B.S., Millersville University, 2002; M.Ed., 2004; Ph.D., University of Pittsburgh, 2009."
267,"Gutierrez, Thomas D. (2006) Physics",Professor,"B.S., San José State University, 1991; M.S., 1994; Ph.D., University of California, Davis, 2000."
268,"Haberland, Matthew D. (2018) BioResource and Agricultural Engineering",Assistant Professor,"B.S., Cornell University, 2007; M.S. Mechanical Engineering, Cornell University, 2007; Ph.D., Massachusetts Institute of Technology, 2014."
269,"Habib, Kenneth (2006) Music",Professor,"B.A., University of California, Los Angeles, 1983; M.A., University of California, Santa Barbara, 1995; Ph.D., 2005."
270,"Hackman, Christine L. (2015) Kinesiology and Public Health",Associate Professsor,"B.S., Rowan University, 2010; M.A., University of Alabama, 2012; Ph.D., University of Alabam, 2015."
271,"Hagen, John (2001) Chemistry and Biochemistry",Professor,"B.S., University of Nevada, Las Vegas, 1992; Ph.D., Stanford University, 1996."
272,"Hagobian, Todd A. (2009) Kinesiology and Public Health",Professor,"B.A., University of Southern California, 1991; M.A., San Francisco State University, 2002; Ph.D., University of Massachusetts at Amherst, 2007."
273,"Hajrasouliha, Amir (2015) City and Regional Planning",Associate Professor and Department Head,"B.Arch., Shahid Beheshti University, 2004; M.Urbanism, University of Tehran, 2007; M. Urban Design, University of Michigan, 2011; Ph.D. Metropolitan Planning, Policy, and Design, University of Utah, 2015"
274,"Hall, Garrett J. (2002) Civil and Environmental Engineering",Professor,"B.S., Worcester Polytechnic Institute, 1992; M.S., University of Washington, 1993; Ph.D., University of California, Berkeley, 2001. Registered Professional Engineer, California."
275,"Hall, Kellie Green (1990) College of Science and Mathematics, Kinesiology and Public Health",Associate Dean and Professor,"B.S., Rocky Mountain College, 1977; M.S., Eastern Washington University, 1977; Ph.D., Louisiana State University, 1990."
276,"Hamachi, Leslie (2020) Chemistry and Biochemistry",Assistant Professor,"B.S., University of California, Berkeley; Ph.D., Columbia University, 2018."
277,"Hamilton, Lynn (1996) Agribusiness",Professor,"B.S., Ohio State University, 1988; M.S., University of Minnesota, 1995; Ph.D., 1996."
278,"Hamilton, Margaret E. (2012) Mathematics",Professor,"B.S., University of Chicago, 1989; M.A., University of California, Los Angeles, 1991; Ph.D., 1995."
279,"Hamilton, Stephen (2004) Economics",Professor,"B.A., University of California, Santa Barbara, 1991; M.S., University of California, Berkeley, 1994; Ph.D., 1996."
280,"Hampsey, John C. (1992) English",Professor,"B.A., Holy Cross College, 1976; Ph.D., Boston College, 1982."
281,"Hanson, James L. (2005) Civil and Environmental Engineering",Professor,"B.S., University of Wisconsin, Madison, 1990; M.S., University of Minnesota, Minneapolis, 1992; Ph.D., University of Wisconsin, Madison, 1996. Registered Professional Engineer, California and Wisconsin."
282,"Harding, Trevor S. (2006) Materials Engineering",Professor and Department Chair,"B.S., University of Michigan, 1995; M.S., 1997; Ph.D., 2000."
283,"Hardy, Kristin (2011) Biological Sciences",Professor,"B.S., Tulane University, 2003; Ph.D., University of North Carolina Wilmington, 2009."
284,"Harsh, Matthew (2018) Interdisciplinary Studies in the Liberal Arts",Professor,"B.S., Northwestern University; M.S., University of Edinburgh; Ph.D, University of Edinburgh"
285,"Hatch, Ryan (2014) English",Associate Professor,"B.A., Kalamazoo College, 2004; M.A., State University of New York, 2008; Ph.D., State University of New York, 2013."
286,"Hauck, Allan (2002) Construction Management",Professor Emeritus (FERP),"B.A., Kalamazoo College, 1973; M.Ed., Bowling Green State University, 1979; Ph.D., University of Maryland, 1990. Certified Professional Constructor (CPC)."
287,"Haungs, Michael L. (2003) Computer Science; Liberal Arts and Engineering Studies",Professor and LAES Co-Director,"B.S., University of California, Berkeley, 1992; M.S., Clemson University, 1998; Ph.D., University of Davis, 2002."
288,"Hawkins, Benjamin George (2012) Biomedical Engineering, Electrical Engineering",Associate Professor,"B.S., California State University, Fresno, 2005; Ph.D., Cornell University, Ithaca, 2010."
289,"Haynes, M. Taylor (2015) Chemistry and Biochemistry",Associate Professor,"B.S., University of California, Irvine; M.S. University of Michigan; Ph.D. University of Michigan."
290,"Hazelwood, Scott (2007) Biomedical Engineering",Professor,"B.S., Harvey Mudd College, 1985; M.E., 1986; M.S., University of California, Davis, 1992; Ph.D., 1998."
291,"Headrick, David H. (1998) Horticulture and Crop Science",Professor,"B.S., California State Polytechnic University, Pomona, 1986; M.S., University of California, Riverside, 1988; Ph.D., 1992. Pest Control Advisor, California."
292,"Healy, Brian P. (2017) Theatre and Dance",Associate Professor and Department Chair,"B.A., Truman State University, 1996; M.F.A., University of Washington, 2007."
293,"Helmbrecht, Brenda (2004) English",Professor and Associate Chair,"B.A., Truman State University, 1997; M.A., Miami University, 1999; Ph.D., 2004."
294,"Helms, Eleanor D. (2011) Philosophy",Professor,"B.A., Wheaton College, 2002; M.A., Fordham University, 2007; Ph.D., 2011."
295,"Hendricks-Bolen, Karin A. (2018) Theatre and Dance",Assistant Professor,"B.A. University of Arizona, 2004; M.F.A., University of California, Irvine, 2009."
296,"Hess, Jeffrey (2007) Marketing",Associate Professor and Area Chair,"B.A., Biola University, 1986; M.B.A., Pepperdine, 1988; Ph.D., University of Colorado-Boulder, 1998."
297,"Hewavitharana, Shashika (2019) Horticulture and Crop Science",Assistant Professor,"B.S., University of Colombo, Sri Lanka, 2009; M.S., Washington State University, 2013; Ph.D., Washington State University, 2017."
298,"Heying, Michael D. (2009) Chemistry and Biochemistry",Associate Professor,"B.S. Alma College, Michigan 1999; M.S. Purdue University, 2002; Ph.D., Purdue University, 2005"
299,"Heylman, Christopher M. (2017) Biomedical Engineering",Assistant Professor,"B.S., California Polytechnic State University, San Luis Obispo, 2007; Ph.D., Case Western Reserve University, 2013."
300,"Hickman, Emily (2019) Accounting",Assistant Professor,"B.S., University of Idaho, 2011; M.S., Gonzaga University, 2013;Ph.D., Washington State University, 2017."
301,"Hill, Alessandro (2018) Industrial and Manufacturing Engineering",Assistant Professor,"B.S. and M.S., University of Augsburg, Germany, 2006; Ph.D., University of Hamburg, Germany, 2016."
302,"Hillers, Kenneth J. (2004) Biological Sciences",Professor and Department Chair,"B.S., Western Washington University, 1990; Ph.D., University of Oregon, 1998."
303,"Himelblau, Edward T. (2005) Biological Sciences",Professor,"B.S., University of California San Diego, 1992; Ph.D., University of Wisconsin, 2000."
304,"Hiremath, Nandeesh (2021) Aerospace Engineering",Assistant Professor,"B.S Mechanical Engineer from India, M.S. 2015 and Ph.D. in Aerospace Engineeering Georgia Institute of Technology 2018"
305,"Hoellwarth, Chance (1997) Physics",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1991; M.S., University of California, Davis, 1994; Ph.D., 1997."
306,"Holladay, Bret (2020) Statistics",Assistant Professor,"B.S., California State University, Northridge, 2011; M.S., 2014; Ph.D., University of California, Santa Barbara, 2019."
307,"Holtzapple, Robert (2008) Physics",Professor,"B.A., University of California, Berkeley, 1988; M.S., Stanford University, 1991; Ph.D., 1996."
308,"Hoover, Benjamin K. (2013) Horticulture and Crop Science",Associate Professor,"B.S., Temple University, 2005; M.S., The Pennsylvania State University, 2007; Ph.D., 2012"
309,"Hopper, Matthew S. (2006) History",Professor,"B.A., Pepperdine University, 1996; M.A., Temple University, 1998; M.A., University of California, Los Angeles, 2000; Ph.D., 2006."
310,"Horney, Marc R. (2009) Animal Science",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1990; M.S., Oregon State University, 1992; Ph.D., University of Nebraska-Lincoln, 1999."
311,"Howe, Patrick C. (2011) Journalism",Associate Professor,"B.A., University of Minnesota, 1993; M.A., University of Missouri-Columbia, 2011."
312,"Howes, Daniel J. (2011) BioResource and Agricultural Engineering",Professor,"B.S., University of California, Davis, 1997; M.S., California Polytechnic State University, San Luis Obispo, 2001; Ph.D., University of California, Irvine, 2010. Registered Professional Engineer, California.."
313,"Hurley, Sean P. (2002) Agribusiness",Professor,"B.A., University of San Francisco, 1994; Ph.D., Iowa State University, 2000."
314,"Hurt, Shelley L. (2008) Political Science",Associate Professor,"B.A., University of California, Berkeley, 1995; M.A., New School for Social Research, New York, 2001; Ph.D., 2010."
315,"Huzzey, Juliana M. (2014) Animal Science",Associate Professor,"B.S., University of British Columbia, 2003; M.S., University of British Columbia, 2007; Ph.D., Cornell University, 2012."
316,"Hydock, Chris (2019) Marketing",Assistant Professor,"B.A., University of Colorado, 2006; Ph.D., George Washington University, 2012."
317,"Immoos, Chad E. (2004) Chemistry and Biochemistry",Professor,"A.B., Occidental College, 1996; Ph.D., University of California, Irvine, 2002."
318,"Iscold, Paulo (2018) Aerospace Engineering",Associate Professor,"B.S., Universidade Federal de Minas Gerais, 1999; M.S., Universidade Federal de Minas Gerais 2001; Ph.D., Universidade Federal de Minas Gerais 2004"
319,"Isom, Denise A. (2008) Ethnic Studies",Professor and Department Chair,"B.S., B.A., University of California, Davis, 1989; M.A., 1992; Ph.D., Loyola University, Chicago, 2003."
320,"Jackson, Douglas (2008) Architecture",Professor,"B.Arch., Virginia Polytechnic Institute and State University, 1993; M.Arch, Princeton University, 2000. Registered Architect, California."
321,"Jackson, Lorraine D. (1992) Communication Studies",Associate Professor,"B.A., University of Western Ontario, 1987; M.A., Pennsylvania State University, 1989; Ph.D., 1992."
322,"Jackson, Thanayi (2019) History",Assistant Professor,"B.A., University of California Santa Cruz, 2000, M.A., University of Maryland-College Park, 2002, Ph.D., University of Maryland, 2016"
323,"Jaggia, Sanjiv (2007) Economics",Professor,"B.A., Panjab University, India, 1981; Ph.D., Indiana University, Bloomington, 1990."
324,"James, Jonathan (2013) Economics",Associate Professor,"B.A., UCLA, 2003; M.A., Duke University, 2007; Ph.D., Duke University, 2011."
325,"James, Jeremy (2020) Natural Resources Management and Environmental Sciences",Professor and Department Head,"B.S., California Polytechnic State University, San Luis Obispo, 1998; Ph.D., University of California, Davis, 2004."
326,"Jankovitz, Kristine Z. (1996) Kinesiology and Public Health",Professor and Department Chair,"B.S., California Polytechnic State University, San Luis Obispo, 1984; M.S., 1989; Ph.D., University of Nebraska-Lincoln, 1995. Department Chair."
